,hemisphere_id,id,is_injection,max_voxel_density,max_voxel_x,max_voxel_y,max_voxel_z,normalized_projection_volume,projection_density,projection_energy,projection_intensity,projection_volume,experiment_id,structure_id,sum_pixel_intensity,sum_pixels,sum_projection_pixel_intensity,sum_projection_pixels,volume
0,2,630595268,False,0.963435649871826,5970,4880,6330,0.121281636285478,0.0249408855988441,35.0238555898022,1404.2747379999,0.0296086482063477,184158290,239,320639727392.0,969104524.0,33941776900.0,24170325.0664062,1.1871530419
1,2,630595814,False,0.170241057872772,4150,3950,6020,8.15149681135268e-05,0.000975792587269098,0.368643760681152,377.789031982422,1.99003582763672e-05,184158290,333,3293257216.0,16648200.0,6137255.0,16245.1904296875,0.020394045
2,1,630598324,False,0.393279016017914,8270,1620,4500,0.00410106744334549,0.00133019639179111,0.532077312469482,399.999053955078,0.001001199084375,184158290,971,47402610688.0,614424576.0,326921376.0,817305.375,0.7526701056
3,1,630600030,False,0.642105519771576,6100,4700,5630,0.00455440791281645,0.0226043071597815,20.7423400878906,917.627746582031,0.0011118737,184158290,189,12062810240.0,40153940.0,832886656.0,907652.0,0.0491885765
4,3,630600992,False,0.197914376854897,7580,920,7100,0.00012102611671299,0.000117817922561372,0.0669335806984842,568.110345551356,2.95462678710937e-05,184158290,433,59453511680.0,204717600.0,13702482.0,24119.40234375,0.25077906
5,1,630595104,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,184158290,589508451,4239296512.0,46185300.0,0.0,0.0,0.0565769925
6,1,630600197,False,0.374746263027191,5320,2480,4520,0.00107362825077558,0.00348375109024346,1.65367424488068,474.682067871094,0.000262106301953125,184158290,98,5501101056.0,61417800.0,101565032.0,213964.328125,0.075236805
7,3,630601771,False,0.773579716682434,6170,2010,6100,0.158420852975332,0.00806958221890445,5.1157650185884,633.956613838545,0.0386754948890625,184158290,886,1105918013952.0,3912449456.0,20015172064.0,31571832.5625,4.7927505836
8,1,630600213,False,0.427095204591751,3960,3210,4910,0.0094028589974565,0.00895271822810173,4.32930517196655,483.574432373047,0.002295532553125,184158290,84,46286278656.0,209311200.0,906172096.0,1873904.125,0.25640622
9,1,630599017,False,0.470285177230835,3010,6440,5300,0.0079886187907041,0.00245517942487145,1.04565897167075,425.899207641614,0.0019502721984375,184158290,589,185392635904.0,648449120.0,678056640.0,1592058.9375,0.794350172
10,2,630596177,False,0.234249025583267,7530,2640,5940,0.000232076394771494,0.00215064571239054,1.04598391056061,486.358093261719,5.66571208984375e-05,184158290,611,2571823616.0,21505500.0,22494408.0,46250.7109375,0.0263442375
11,3,630601882,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,184158290,1010,58509215744.0,163196992.0,0.0,0.0,0.1999163152
12,3,630601570,False,0.361403912305832,5650,6600,6990,0.00321432975339194,0.000961930161482733,0.486293838441759,505.539651332045,0.000784718625195312,184158290,596,179158482944.0,665938816.0,323841943.0,640586.6328125,0.8157750496
13,3,630601896,False,0.264086961746216,8790,2450,10440,0.00037873336876286,0.000136987940308892,0.0491690158323497,358.929521251866,9.24606842647552e-05,184158290,1027,169115801472.0,550983608.0,27091321.7451172,75478.1096038818,0.6749549198
14,3,630601998,False,0.144052639603615,7450,3550,3230,8.09684680886131e-05,4.27728915270735e-05,0.0162208729936212,379.232556287527,1.97669404937744e-05,184158290,496345668,87059243008.0,377254784.0,6119401.9375,16136.2779541016,0.4621371104
15,3,630601994,False,0.592813909053802,6030,1720,6370,0.0292181993221294,0.00925690789044874,4.51732227385685,487.994730780223,0.00713307811015625,184158290,919,149558870016.0,629035200.0,2841554720.0,5822920.90625,0.77056812
16,2,630595107,False,0.0875798016786575,8010,3200,5750,2.25899572621537e-05,0.000190704988199286,0.0825173854827881,432.696533203125,5.51491650390625e-06,184158290,158,2267291904.0,23607000.0,1947988.0,4501.97265625,0.028918575
17,2,630595097,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,184158290,154,44904540160.0,123313504.0,0.0,0.0,0.1510590424
18,3,630601907,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,184158290,1044,9529457664.0,55029600.0,0.0,0.0,0.06741126
19,2,630595233,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,184158290,225,95862161408.0,337079712.0,0.0,0.0,0.4129226472
20,2,630596113,False,0.150631159543991,7160,3310,6510,0.000127071849076639,0.000155917223310098,0.0603266805410385,386.914825439453,3.10222206054687e-05,184158290,575,34476400640.0,162421200.0,9798332.0,25324.26171875,0.19896597
21,3,630600724,False,0.247998476028442,7890,1080,6920,0.00163857847218595,0.0105592663654821,3.93031928034198,372.215184682724,0.000400028355712891,184158290,279,3589096704.0,30925800.0,121548268.0,326553.759765625,0.037884105
22,3,630600891,False,0.483306348323822,6470,4700,6170,0.00963220340111029,0.00696261757242592,4.60318917789617,661.129112724242,0.002351522709375,184158290,366,83131346944.0,275702400.0,1269110304.0,1919610.375,0.33773544
23,1,630598988,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,184158290,601,13347131392.0,50253300.0,0.0,0.0,0.0615602925
24,2,630596144,False,0.282057166099548,7620,3500,9760,0.000194208185565095,0.00186772458255291,0.877647995948792,469.902252197266,4.7412304296875e-05,184158290,598,3347198208.0,20722500.0,18187060.0,38703.921875,0.0253850625
25,3,630600524,False,0.485976129770279,3470,5120,8270,0.0441312437264472,0.00563292773637582,2.96677255103073,526.683935934802,0.0107738196022461,184158290,119,485031678368.0,1561346992.0,4632161398.5,8794954.77734375,1.9126500652
26,3,630601973,False,0.14509142935276,7720,6450,5610,4.63957242704905e-05,0.00028772771203058,0.104218295866863,362.211533714858,1.13266502685547e-05,184158290,1126,4818245120.0,32135400.0,3349096.625,9246.2451171875,0.039365865
27,1,630597965,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,184158290,204,28490928128.0,124780496.0,0.0,0.0,0.1528561076
28,2,630596057,False,0.0595500059425831,7540,5820,6990,7.33567641720527e-06,1.6694455553079e-05,0.0102748870849609,615.467041015625,1.79086850280762e-06,184158290,470,32002203648.0,87570000.0,899771.875,1461.93347167969,0.10727325
29,1,630599190,False,0.000431582186138257,7230,5700,4190,1.94903029439843e-09,4.43558256790766e-09,1.45006583807117e-06,326.916656494141,4.75819374620914e-10,184158290,470,28646854656.0,87570000.0,126.982269287109,0.388423979282379,0.10727325
30,2,630596117,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,184158290,580,6246660096.0,39566700.0,0.0,0.0,0.0484692075
31,2,630595809,False,0.384768515825272,7410,6590,6990,0.0041071567530667,0.0017906212410026,0.908094989088642,507.139627462581,0.00100268567570801,184158290,331,124904554496.0,457114492.0,415103379.625,818518.918945312,0.5599652527
32,1,630598211,False,0.238812357187271,8530,1770,1380,0.000101814818366074,7.36528830636283e-05,0.0243638445955365,330.792816005434,2.4856187890625e-05,184158290,1027,82925348224.0,275491804.0,6712039.5,20290.765625,0.3374774599
33,3,630600586,False,0.340955466032028,9340,2580,9230,0.00340356256410695,0.00418094510807688,1.95335805274259,467.204902778807,0.000830916284570312,184158290,312782648,41787570176.0,162235808.0,316904622.0,678299.0078125,0.1987388648
34,3,630601895,False,0.0342628099024296,5570,2500,8100,2.6093254408925e-06,7.88862168105695e-06,0.00262928254883601,333.300626540342,6.37018112564087e-07,184158290,1026,7463161600.0,65919600.0,173321.25390625,520.014785766602,0.08075151
35,2,630596459,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,184158290,773,40971980800.0,127188896.0,0.0,0.0,0.1558063976
36,3,630600855,False,0.491364777088165,8400,5610,5860,0.00146641534614562,0.000178142752843322,0.079098392355457,444.016897083795,0.000357997941305927,184158290,348,359776670080.0,1640500176.0,129760926.580444,292243.217392594,2.0096127156
37,3,630601588,False,0.0256707929074764,10560,3090,6830,5.49623893737456e-07,2.2070986140841e-07,0.000216065553172951,978.957404957701,1.34180416870117e-07,184158290,616,99841892352.0,496285184.0,107230.1328125,109.535034179688,0.6079493504
38,2,630595005,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,184158290,105,18858016768.0,87846304.0,0.0,0.0,0.1076117224
39,3,630601761,False,0.272938907146454,10040,2290,2150,0.000197371427386438,0.00119288192430559,0.595491839074185,499.204344487688,4.81845507568359e-05,184158290,869,9599323136.0,32974200.0,19635867.0,39334.3271484375,0.040393395
40,1,630599844,False,0.0807638689875603,5850,6890,5660,6.68485877432557e-06,4.50090337835718e-05,0.0175352189689875,389.593292236328,1.63198352050781e-06,184158290,286,5357353984.0,29599200.0,519028.4375,1332.2314453125,0.03625902
41,2,630596121,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,184158290,496345672,10539175936.0,43132500.0,0.0,0.0,0.0528373125
42,1,630599296,False,0.052530974149704,8340,1670,1430,1.37565529628459e-05,8.03502120763638e-06,0.00255610259413225,318.120205047246,3.35840568847656e-06,184158290,402,103672534272.0,341200800.0,872144.25,2741.5556640625,0.41797098
43,3,630600488,False,0.252772390842438,9160,2320,9190,0.00121800685255526,0.00130267545495414,0.651821902021894,500.371677030516,0.000297353643261719,184158290,74,49631068160.0,186337792.0,121459054.0,242737.66796875,0.2282637952
44,3,630600545,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,184158290,143,4895368704.0,19692000.0,0.0,0.0,0.0241227
45,1,630597751,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,184158290,1093,206067007488.0,1057071616.0,0.0,0.0,1.2949127296
46,3,630601511,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,184158290,506,1925950016.0,10661400.0,0.0,0.0,0.013060215
47,1,630599946,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,184158290,231,3483339776.0,19378800.0,0.0,0.0,0.02373903
48,1,630599718,False,0.0263234209269285,6910,6480,4210,8.4934272237301e-07,1.50290579767898e-05,0.00487142195925117,324.133544921875,2.07351175689697e-07,184158290,349,1149869312.0,11262600.0,54864.875,169.266265869141,0.013796685
49,1,630597902,False,0.205352291464806,4540,4670,5040,0.000478920187255692,0.000349285517586395,0.160378530621529,459.161712646484,0.000116919426367187,184158290,266,55778959360.0,273256192.0,43824428.0,95444.4296875,0.3347388352
50,3,630600741,False,0.30889493227005,8770,3650,10270,0.00244508526336858,0.000570382998330054,0.268245720985199,470.290527190605,0.000596921938183594,184158290,289,239240159232.0,854308800.0,229164680.0,487283.21484375,1.04652828
51,1,630600226,False,0.175237134099007,8990,2250,2240,0.000123234493513795,0.000263602036284283,0.120029479265213,455.343505859375,3.00854018554687e-05,184158290,74,24442636288.0,93168896.0,11183014.0,24559.51171875,0.1141318976
52,3,630601995,False,0.380714446306229,2740,2930,6480,0.000177980260347793,0.000351187272036987,0.153987616807162,438.47721449012,4.34505591918945e-05,184158290,526157196,20029790208.0,100999800.0,15552718.5,35469.8442382812,0.123724755
53,2,630595951,False,0.501608908176422,6350,5940,7610,0.0380891346978199,0.00831540673971176,4.71835231781006,567.422973632812,0.0092987514375,184158290,403,254883463168.0,912861888.0,4307204096.0,7590817.5,1.1182558128
54,3,630601606,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,184158290,642,20814123008.0,139010400.0,0.0,0.0,0.17028774
55,3,630600774,False,0.287227064371109,5610,2970,5850,0.00098525891664012,0.000459969857473129,0.188970130222598,410.831551573218,0.000240532578125,184158290,310,50028290048.0,426882592.0,80668059.0,196353.125,0.5229311752
56,3,630601693,False,0.66925311088562,4210,3210,6120,0.0853469361762445,0.0188504835953293,11.3956606021917,604.528819887427,0.02083586176875,184158290,772,289417486336.0,902304000.0,10282350144.0,17008866.75,1.1053224
57,2,630596651,False,0.38444247841835,7520,4650,9670,0.00376755181969435,0.0102054541930556,4.54653787612915,445.500793457031,0.00091977746875,184158290,884,12952258560.0,73572304.0,334499264.0,750838.75,0.0901260724
58,3,630600918,False,0.22271104156971,8180,5650,6680,0.000339662767822225,4.85252626645763e-05,0.0196475526942054,404.893278579782,8.2922326159668e-05,184158290,381,345931857920.0,1394978432.0,27407912.25,67691.6948242188,1.7088485792
59,2,630595320,False,0.479811936616898,10230,2270,8860,0.00309700435544449,0.00668567419052124,3.58225250244141,535.810241699219,0.00075607581875,184158290,269,21571993600.0,92317504.0,330704608.0,617204.75,0.1130889424
60,2,630596490,False,0.275164812803268,7550,3180,6150,0.000492444936901354,4.64631630165968e-05,0.0233272239565849,502.058471679688,0.000120221241601562,184158290,795,442510550528.0,2112206336.0,49271912.0,98139.7890625,2.5874527616
61,3,630601854,False,0.356458514928818,8380,5870,5490,0.000715529215236551,0.00206149946257311,1.03955273939531,504.270196654702,0.000174683105078125,184158290,606826659,25224793088.0,69172200.0,71908150.0,142598.453125,0.084735945
62,3,630601868,False,0.496687382459641,2910,1540,4670,0.0205677098682554,0.000347689680904312,0.154449640333415,444.216923354482,0.00502122254078064,184158290,993,3313532997376.0,11789125192.0,1820826145.75,4098957.17614746,14.4416783602
63,1,630599731,True,1.0,6030,4660,5690,0.115547251422562,0.798849620219795,3951.36299754833,4946.31642493759,0.028208705154077,184158290,343,119580102653.459,28825843.8492537,113901372759.047,23027514.4114914,0.0353116587153357
