,hemisphere_id,id,is_injection,max_voxel_density,max_voxel_x,max_voxel_y,max_voxel_z,normalized_projection_volume,projection_density,projection_energy,projection_intensity,projection_volume,experiment_id,structure_id,sum_pixel_intensity,sum_pixels,sum_projection_pixel_intensity,sum_projection_pixels,volume
0,2,641561533,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,614435699,312782590,28725458944.0,66575700.0,0.0,0.0,0.0815552325
1,1,641562753,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,614435699,62,4039228672.0,67094100.0,0.0,0.0,0.0821902725
2,2,641561294,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,614435699,949,196447584.0,6042600.0,0.0,0.0,0.007402185
3,2,641561331,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,614435699,987,696565375104.0,2607643816.0,0.0,0.0,3.1943636746
4,2,641561273,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,614435699,926,655558418432.0,2258460000.0,0.0,0.0,2.7666135
5,2,641561045,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,614435699,723,649910087168.0,1227655804.0,0.0,0.0,1.5038783599
6,2,641561085,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,614435699,760,17870508032.0,50563800.0,0.0,0.0,0.061940655
7,3,641562986,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,614435699,135,11729919488.0,38779200.0,0.0,0.0,0.04750452
8,3,641563030,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,614435699,198,2193627776.0,60615000.0,0.0,0.0,0.074253375
9,2,641561081,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,614435699,757,4068875520.0,16888500.0,0.0,0.0,0.0206884125
10,1,641562751,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,614435699,63,24799666176.0,58788900.0,0.0,0.0,0.0720164025
11,3,641563318,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,614435699,613,125671841792.0,283069792.0,0.0,0.0,0.3467604952
12,3,641563408,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,614435699,693,202960994304.0,494508608.0,0.0,0.0,0.6057730448
13,3,641563779,True,1.0,6070,3840,4650,1.00000000462907,0.808127274859404,5975.62323443478,7394.40855461092,0.0246840636,614435699,997,157143498752.0,24934508.0,148999225344.0,20150256.0,0.0305447723
14,2,641560466,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,614435699,303,176907419648.0,346324512.0,0.0,0.0,0.4242475272
15,1,641561853,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,614435699,867,130914256896.0,504748800.0,0.0,0.0,0.61831728
16,1,641562448,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,614435699,311,136339472384.0,320056192.0,0.0,0.0,0.3920688352
17,3,641563546,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,614435699,827,150615728128.0,302588992.0,0.0,0.0,0.3706715152
18,2,641561102,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,614435699,778,280333746176.0,698709632.0,0.0,0.0,0.8559192992
19,3,641562979,True,0.0148064475506544,6240,4100,4790,1.8485852544411e-06,0.651143344006651,2438.70608392458,3745.2676225155,4.56305957794189e-08,614435699,127,177263.96875,57.2062454223633,139509.21875,37.2494659423828,7.0077650642395e-08
20,2,641560940,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,614435699,631,517674262528.0,1469318368.0,0.0,0.0,1.7999150008
21,3,641562943,False,0.0159260053187609,1930,2990,3990,6.69939189281115e-06,5.84725735310092e-07,0.000228278747217024,390.403112830263,1.65368214797974e-07,614435699,68,61688500224.0,230868000.0,52702.2578125,134.99446105957,0.2828133
22,2,641561151,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,614435699,822,2575514886144.0,8327067296.0,0.0,0.0,10.2006574376
23,3,641563352,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,614435699,643,52083793920.0,132251400.0,0.0,0.0,0.162007965
24,3,641563677,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,614435699,931,237779763200.0,868541376.0,0.0,0.0,1.0639631856
25,2,641561326,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,614435699,982,4780272128.0,27756000.0,0.0,0.0,0.0340011
26,3,641563497,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,614435699,780,344585617408.0,869992192.0,0.0,0.0,1.0657404352
27,3,641563179,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,614435699,397,3200681984.0,33624000.0,0.0,0.0,0.0411894
28,3,641563235,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,614435699,501,35209203712.0,88936200.0,0.0,0.0,0.108946845
29,1,641561847,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,614435699,874,5534029312.0,20143800.0,0.0,0.0,0.024676155
