,hemisphere_id,id,is_injection,max_voxel_density,max_voxel_x,max_voxel_y,max_voxel_z,normalized_projection_volume,projection_density,projection_energy,projection_intensity,projection_volume,experiment_id,structure_id,sum_pixel_intensity,sum_pixels,sum_projection_pixel_intensity,sum_projection_pixels,volume
0,3,630558981,False,0.255582123994827,8930,6550,9020,0.000608820401840256,1.3084856688563e-05,0.00412564961325571,315.299564332393,1.86866446655273e-05,183329222,663,226223013888.0,1165805952.0,4809706.875,15254.4038085938,1.4281122912
1,2,630556128,False,0.482719004154205,6510,2620,6270,0.00258762618726064,2.30029272643151e-05,0.0152330184355378,662.220886230469,7.94225208984375e-05,183329222,463,725962719232.0,2818541824.0,42934900.0,64834.7109375,3.4527137344
2,2,630556451,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,183329222,737,16513016064.0,125076596.0,0.0,0.0,0.1532188301
3,3,630559676,False,0.398704618215561,6520,1950,6330,0.00117392288827897,7.70723739452353e-06,0.0052837696116755,685.559473674698,3.60314467315674e-05,183329222,1099,372055255744.0,3816338384.0,20164652.78125,29413.4259033203,4.6750145204
4,1,630557551,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,183329222,692,19190052864.0,75768304.0,0.0,0.0,0.0928161724
5,2,630556521,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,183329222,811,176642605056.0,506958304.0,0.0,0.0,0.6210239224
6,2,630556692,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,183329222,990,29025658880.0,96127200.0,0.0,0.0,0.11775582
7,1,630557379,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,183329222,854,130965635072.0,440530208.0,0.0,0.0,0.5396495048
8,3,630558893,False,0.465383172035217,3940,4270,5710,0.00969660815277077,0.000373183873441673,0.126204944251799,338.184346198776,0.000297619906402588,183329222,597,139757973504.0,651033024.0,82163586.5,242955.025634766,0.7975154544
9,3,630559151,False,0.44884780049324,3740,4180,6310,0.00664264187810002,0.000366398643031033,0.158310944213534,432.072954484511,0.000203883917229462,183329222,814,99908059136.0,454248000.0,71912429.7871094,166435.850799561,0.5564538
10,3,630558515,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,183329222,312782590,41287063552.0,133151400.0,0.0,0.0,0.163110465
11,3,630558776,False,0.407413125038147,3200,4420,5780,0.0225136153659308,0.00148932578036738,0.668682913855407,448.983642578496,0.000691014836572266,183329222,484,67136376832.0,378757792.0,253268864.0,564093.744140625,0.4639782952
12,1,630557890,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,183329222,358,5027995648.0,21245400.0,0.0,0.0,0.026025615
13,3,630559657,False,0.0270649418234825,8980,3740,3310,5.50586062308974e-06,6.12365238430319e-07,0.000139671880027654,228.085905701762,1.689924659729e-07,183329222,1088,42913112064.0,225279008.0,31465.142578125,137.953033447266,0.2759667848
14,3,630559690,False,0.285167574882507,4110,2990,6660,0.0158179373030236,0.000530966557421251,0.191525461881072,360.71096984197,0.000485503069262695,183329222,1108,63462137856.0,746429376.0,142960231.0,396329.036132812,0.9143759856
15,3,630558340,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,183329222,26,272147668992.0,1075345152.0,0.0,0.0,1.3172978112
16,3,630558807,False,0.12777604162693,8220,5690,6120,0.000316850964028367,3.46299706750388e-05,0.013280324617481,383.492228223382,9.72516912841797e-06,183329222,525,51470784512.0,229249792.0,3044511.65625,7938.91357421875,0.2808309952
17,3,630558336,False,0.390466928482056,5220,7010,2940,0.0151997747835169,0.00039846940690192,0.130635993932033,327.844476060837,0.000466529685137176,183329222,21,65269531648.0,955758592.0,124856473.625,380840.559295654,1.1708042752
18,3,630558790,False,0.306233644485474,7890,2310,6600,0.00483915409555672,6.42199771230635e-05,0.0244251618580711,380.335885378246,0.000148529111035156,183329222,502,499550388224.0,1888014592.0,46115062.0,121248.25390625,2.3128178752
19,3,630558924,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,183329222,613,88425267200.0,283069792.0,0.0,0.0,0.3467604952
20,1,630558265,False,0.0228374749422073,9030,6170,3730,1.99315992445e-05,1.86360521183815e-05,0.00319573655724525,171.481414794922,6.11764506530762e-07,183329222,93,368349920.0,26797500.0,85637.75,499.399597167969,0.0328269375
21,2,630556908,False,0.379516214132309,6540,2630,6280,0.000521867957499609,4.23578421759885e-05,0.052850890904665,1247.72387695312,1.60177961425781e-05,183329222,10704,64209494016.0,308697312.0,16314928.0,13075.751953125,0.3781542072
22,3,630559789,False,0.34137749671936,9110,1960,4030,0.00347447286235392,4.48551440234487e-05,0.0158849586251938,354.139061885292,0.000106642680801392,183329222,302,450214631424.0,1940808608.0,30829664.4375,87055.2496337891,2.3774905448
23,2,630556050,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,183329222,379,13730033792.0,100591200.0,0.0,0.0,0.12322422
24,2,630556080,False,0.053082037717104,7690,4530,6160,2.49479140254485e-05,1.9823068214464e-05,0.00567292049527168,286.177734375,7.65731245422363e-07,183329222,414,6480047104.0,31533300.0,178885.90625,625.086730957031,0.0386282925
25,1,630557094,False,0.277763903141022,1670,3120,5520,0.0104756173922014,0.000145464902743697,0.0459907203912735,316.163665771484,0.000321530190625,183329222,1016,140305629184.0,1804377600.0,82984624.0,262473.625,2.21036256
26,3,630559404,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,183329222,990,62410485760.0,192254400.0,0.0,0.0,0.23551164
27,3,630558430,False,0.576846122741699,7320,3590,5830,0.0484005816241536,0.00307276393312576,1.69084454629144,550.268287148056,0.00148556859737549,183329222,149,82718448384.0,394663920.0,667315336.75,1212709.05908203,0.483463302
28,2,630555603,False,0.103920459747314,9020,5930,7760,1.80561990596638e-05,1.68825517903315e-05,0.00560385920107365,331.932006835938,5.54202478790283e-07,183329222,93,60643944.0,26797500.0,150169.421875,452.410186767578,0.0328269375
29,3,630559326,False,0.0598539300262928,7310,7170,5320,0.000147966502065112,5.26322063321666e-06,0.00172308559997268,327.38236149519,4.54156502990723e-06,183329222,157,100444216576.0,704397608.0,1213737.375,3707.40002441406,0.8628870698
30,2,630556680,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,183329222,978,40729722880.0,318462304.0,0.0,0.0,0.3901163224
31,1,630557901,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,183329222,349,1230681344.0,11262600.0,0.0,0.0,0.013796685
32,1,630557778,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,183329222,470,29568325632.0,87570000.0,0.0,0.0,0.10727325
33,3,630559103,False,0.253001898527145,3960,3290,6000,0.0187924570543066,0.000521839230458914,0.275844362875483,528.600279118343,0.000576800590625,183329222,772,265766936576.0,902304000.0,248895472.0,470857.625,1.1053224
34,1,630557567,False,0.38951563835144,6300,4130,750,0.00304874465900702,7.22483691461544e-05,0.0221725925454145,306.894021380062,9.357572109375e-05,183329222,677,288531475456.0,1057301980.0,23443126.0,76388.34375,1.2951949255
35,2,630555588,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,183329222,74,22587666432.0,93168896.0,0.0,0.0,0.1141318976
36,2,630556731,False,0.0761196538805962,11720,4900,8780,0.000102275685093639,9.93977323560102e-07,0.000336810626322404,338.851409912109,3.1391677734375e-06,183329222,1041,567314153472.0,2578113024.0,868335.875,2562.5859375,3.1581884544
37,2,630556353,False,0.36478266119957,9040,5420,7320,0.00129266307641886,8.61838343553245e-05,0.0238027665764093,276.185974121094,3.96759627441406e-05,183329222,658,36685668352.0,375807616.0,8945261.0,32388.541015625,0.4603643296
38,2,630556832,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,183329222,560581559,10729198592.0,39449700.0,0.0,0.0,0.0483258825
39,3,630558478,False,0.122210159897804,7930,3860,6990,0.00042438163651688,9.25893979333095e-06,0.00419802344640962,453.402175639308,1.30256292663574e-05,183329222,215,292896587776.0,1148421632.0,4821100.9375,10633.1667480469,1.4068164992
40,1,630557775,False,0.471023082733154,5640,7240,3820,0.0345854060571643,4.28294733865187e-05,0.0144836977124214,338.171264648438,0.0010615366890625,183329222,477,5266281334912.0,20232808448.0,293045888.0,866560.5625,24.7851903488
41,1,630557244,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,183329222,962,449904672768.0,1704741376.0,0.0,0.0,2.0883081856
42,1,630558197,False,0.105871081352234,2100,3290,4710,5.32686444498308e-05,1.92028637684416e-05,0.00574910687282681,299.388000488281,1.63498500976562e-06,183329222,188,8989322240.0,69504304.0,399587.6875,1334.681640625,0.0851427724
